"Id","CH_num","DU_num","area","CH_den","DU_den","PHI"
19551,966821.98901377,0,8005470989,120.770157101592,0,0
19552,1069996.59198013,0,9659948873,110.766278998724,0,0
19553,0.30420048,0,8674867909,3.50668717023804e-05,0,0
19554,823067.17492677,24140.8454018,9818548002,83.8277894816132,2.45869810860858,0.0569891805142202
19555,41259.0259857,119.25295695,9738189671,4.23682710848896,0.0122459061672552,0.00576403659104718
19556,200096.84643557,5196.18056644,9860353040,20.2930712139664,0.526977132092625,0.0506220853413507
19557,24.18688362,2.85118252,2636138420,0.00917511896814584,0.00108157542045914,0.210901364412447
19558,16459.42631938,0,3601364535,4.57033053983245,0,0
19559,0,0,8891204040,0,0,0
19560,6058.14563492,0,9208110232,0.65791410857211,0,0
19561,1072.17502381,5232.26614748,9927230091,0.108003442448869,0.527062040419871,0.340133247239299
19562,3856.31050602,1412.0162106,3723402245,1.03569538080353,0.379227415597156,0.53603972819131
19563,11470.91100308,4736.05247693,4410328460,2.60091988774006,1.0738548205387,0.584446615526905
19564,3103.45337485,4906.79920194,3838761880,0.808451649741296,1.27822442634551,0.774870291566678
19565,138429.41976166,2901.73363019,9832818763,14.0783048175928,0.295106998321678,0.0410629017106333
19566,829.88830679,0,4392441525,0.188935538940385,0,0
19567,721.81361392,0,422325548,1.70914030026902,0,0
19568,12.73483922,0.18302328,4126699773,0.00308596212967102,4.43510044509361e-05,0.0283364651079078
19569,1619.69915964,0,4269070727,0.379403215176575,0,0
19570,178999.09188085,384.7633858,9706716437,18.4407459559179,0.0396388818296331,0.00428983294207896
19571,438.68623964,12.18561209,3101991304,0.141420847658185,0.0039283192297434,0.0540535499976044
19572,668.52443837,4.28532814,3983251417,0.167833854402668,0.00107583672015047,0.0127386026580111
19573,0,0,312487.1163,0,0,0
19574,57971.45396423,0,9583660157,6.04898890554744,0,0
19575,25.65170462,2.2179041,3251129977,0.00789008892338111,0.000682194841698265,0.159162916299458
19576,881.26625205,6.48902657,4410328460,0.199818734600552,0.00147132501101743,0.0146189535027875
19577,596.28802139,5.68048315,3693267781,0.161452690881934,0.00153806425280702,0.0188730244428346
19578,488359.25607119,13.47016921,9900984158,49.3243144598505,0.00136048790655988,5.51634785738164e-05
19579,2577.0502929,0,2295238958,1.12278082589952,0,0
19580,0,0,133320.5075,0,0,0
19581,0,0,3693948589,0,0,0
19582,1273763.24888621,1763.09043454,4963525632,256.624694486157,0.355209293807874,0.00276449083047392
19583,1724134.52197277,0,9659948873,178.48277921965,0,0
19584,827.88031198,0,3983251417,0.207840335773613,0,0
19585,92831.06943889,20.59805023,9912105974,9.36542342085436,0.00207807001701049,0.000443676474251919
19586,729192.06994637,7449.11617639,7721111020,94.4413398612639,0.964772577041639,0.02022454436901
19587,349041.78997805,390.81777965,4963525632,70.3213433064125,0.0787379392443117,0.00223687069250833
19588,2307.12046811,5.41700591,4963525632,0.46481485926776,0.00109136253373538,0.00468490216557094
19589,74.75958382,0,4126699773,0.0181160704515346,0,0
19590,4251.83857347,36.84034877,4827070474,0.880832089850694,0.00763203043511231,0.0171802783271814
19591,28329.01537324,6557.74828715,9853405901,2.8750480450993,0.66553112223708,0.375944776705991
19592,503.5039129,9.99039543,1663610477,0.302657334671258,0.00600524916626863,0.0389114164185812
19593,2763.14776227,0,3983251417,0.6936915281012,0,0
19594,511.56775335,6.2323193,3693267781,0.138513583006832,0.00168748102481551,0.0240722998284035
19595,0,0,423452494.9,0,0,0
19596,7559.25380234,328.51725418,5098694927,1.48258601672953,0.0644316357192398,0.0832978675029999
19597,1716441.5058596,5120.07795903,9514475564,180.40316508396,0.538135593978809,0.00594817868515973
19598,303.62220096,0,219587623,1.38269268919588,0,0
19599,18998.61114501,2666.59069348,9928970118,1.91345234392113,0.268566695416456,0.246163475730245
19600,85.63084206,0,3983251417,0.0214977246212827,0,0
19601,2644.79857346,0,4550437573,0.581218516028634,0,0
19602,1288890.92373658,17725.41582869,7826108867,164.69115695175,2.26490790377731,0.0271317835112753
19603,3387.16098498,11831.09968183,2952036672,1.14739800392967,4.00777530782314,0.445144298568518
19604,54.18047394,0,3546806122,0.0152758487710764,0,0
19605,355623.7631417,4302.37365017,9915584733,35.8651327902177,0.433900144673394,0.0239069809629183
19606,0,0,4417483.592,0,0,0
19607,0,0,3056116970,0,0,0
19608,1354.21821077,2.54424742,4126699773,0.328160100143539,0.000616533200851294,0.00375046848420924
19609,0,9992.04324725,8749130174,0,1.14206133050158,0
19610,3010.93084624,0,4689363090,0.642076714567223,0,0
19611,1011.45588159,4.0893289,4269070727,0.236926475636252,0.00095789673245205,0.00805346499153292
19612,0.8186619,0,179593527.6,0.00455841538913009,0,0
19613,49247.0785294,65.72224023,9794110732,5.02823379038349,0.0067103836201553,0.00266552453741298
19614,0,0,9208110232,0,0,0
19615,0,0,9309627.55,0,0,0
19616,0,0,8821247112,0,0,0
19617,459248.8520508,11208.45577621,2652915947,173.110969674758,4.22495699077269,0.0476491940490015
19618,16370343.170044,602278.08333776,7771107090,2106.56512392033,77.5022241184634,0.0709705441895437
19619,1081.75811005,707.69657898,342017539,3.1628732058972,2.06918212746978,0.790963396076396
19620,63923.11208726,0,9767322938,6.54458877760309,0,0
19621,13445.29561023,149.06573183,8096304986,1.66067059399064,0.0184115756617077,0.0219305237045305
19622,0,0,2880162745,0,0,0
19623,4383.29965024,0,4269070727,1.02675732742434,0,0
19624,10.74823141,0,8749130174,0.00122849142671814,0,0
19625,634997.02539069,7772.58949092,9928970118,63.9539668106684,0.782819305380852,0.0241846823837545
19626,167763.4505158,2511.69877906,8598475515,19.5108365690101,0.292109778608819,0.0295016482377071
19627,395.0937304,9.53315083,2753714993,0.143476623907825,0.00346192356661218,0.047120699450421
19628,2751.17805672,0,4126699773,0.66667754090576,0,0
19629,885351.05070691,71357.48353013,9928970118,89.1684676441797,7.18679608077052,0.149172879673403
19630,3579.61365909,53.78825888,4550437573,0.786652624426631,0.0118204585860385,0.0296076570081472
19631,294293.425293,1131.19934464,614155000.3,479.184285968924,1.8418792390967,0.00765812495168616
19632,442.38244628,2.94536448,45639557.13,9.69296097724864,0.0645353431368846,0.0132278488288142
19633,2601.2219881,0,4963525632,0.524067403083374,0,0
19634,278620.49914557,0,4719031016,59.0418876673834,0,0
19635,48797.75900274,450.12217137,9877712966,4.94018799399278,0.0455694727027767,0.0182798593823214
19636,105206.65983587,0,6846228348,15.3670976905998,0,0
19637,143.9941833,3.35020669,972311723.5,0.148094669456076,0.00344560968363147,0.0454745062262277
19638,536.6245533,1615.40502023,2497665895,0.214850414690873,0.646765855859196,0.498714850298055
19639,10.8857435,0.29131219,10075141.26,1.08045566995852,0.0289139558922671,0.0521268208872993
19640,3031.75071908,2727.1885119,4126699773,0.734667139808913,0.660864289121136,0.947114877416727
19641,0,0,12145265.62,0,0,0
19642,10.30166173,0,1103587539,0.00933470283592972,0,0
19643,6797.17438341,13.75896606,6910648017,0.983579885227715,0.00199098058910732,0.00404025861185986
19644,1253183.80980785,26049.19455694,9915584733,126.38526557462,2.62709615805569,0.0407262703011246
19645,989.11493689,2.94213875,4269070727,0.231693265383092,0.000689175452491865,0.00593139008277721
19646,0,0,10157691.11,0,0,0
19647,7861331.53369161,4250.74787138,9694609082,810.897217948453,0.438465113489968,0.00108084760141514
19648,1798.96090186,0,4963525632,0.362436105953003,0,0
19649,78826.20904543,0,9853405901,7.99989463921608,0,0
19650,19977.28896044,75.76017281,9319295434,2.14364799376957,0.00812938846574182,0.00755597538375186
19651,0,0,7236216.257,0,0,0
19652,0,0,2283302.384,0,0,0
19653,228943.43969729,632.62398876,9840630154,23.265119826115,0.0642869388301167,0.00551123648173635
19654,1965.27120162,1245.51131792,9871631379,0.19908271755373,0.126170768548913,0.775830384238196
19655,103446.01858522,0,9853405901,10.4985037280075,0,0
19656,50037.31482864,0,4963525632,10.0810026054964,0,0
19657,3465285.44470227,80355.04072382,9024581688,383.982943975128,8.90401832482366,0.0453261074009672
19658,7067.88415527,406.20008087,205780141.3,34.3467747209191,1.97395180265628,0.108695612207813
19659,245070.42755129,6682.80015707,2390438537,102.521116421949,2.79563772656414,0.0530900852227533
19660,58179.76232918,0,9726937584,5.98130314158496,0,0
19661,1569.5653248,0,1358880120,1.15504326076976,0,0
19662,0,0,12722986.64,0,0,0
19663,121481.4376883,256.71250368,9636774372,12.6060269752988,0.0266388413560753,0.0042174536622277
