id,neigh1,neigh2,neigh3,neigh4,neigh5,neigh6,neigh7,neigh8
20418,1352,1646,3553,5339,8735,14973,16586,17652
20419,3827,8102,9329,17470,19580,20256,21000,
20420,4033,9417,12551,14558,14965,17349,19691,21623
20421,7488,,,,,,,
20422,0,,,,,,,
20423,232,705,746,3329,7641,13012,18704,18806
20424,2738,9872,12303,12613,14387,14918,17721,19783
20425,4461,11928,16541,19532,20205,,,
20426,2726,4181,5026,5169,6411,12760,,
20427,8694,,,,,,,
20428,5468,6494,9139,10634,12455,12592,18902,20352
20429,9263,14525,17870,19228,20010,21208,21730,21855
20430,205,5401,8087,10662,19129,21130,21509,21747
20431,539,,,,,,,
20432,14077,,,,,,,
20433,1238,9256,10143,19626,19728,20364,21453,21722
20434,2613,5179,12637,15746,19328,20252,21272,
20435,1145,4473,9093,11378,12504,13390,16253,18475
20436,4074,5120,7192,7649,14903,15231,17053,19739
20437,7933,14592,18825,19343,19705,19923,20085,21016
20438,5741,8490,16125,17952,19133,,,
20439,3042,7496,8062,10625,12578,17399,20960,21200
20440,2529,3854,21414,,,,,
20441,1766,5665,8906,9399,9497,18031,19578,20413
20442,6601,8915,16835,18750,18943,19274,,
20443,3569,7482,11377,14313,18459,19909,20675,21692
20444,10412,10628,11814,11895,12138,12359,18841,20466
20445,7302,8917,16256,16961,18883,19188,19795,
20446,239,5826,8221,12346,15309,18492,18708,20017
20447,7552,,,,,,,
20448,1000,3111,8510,8612,14675,16527,16997,18799
20449,3104,3846,9723,12907,17069,19698,21285,21995
20450,1965,2361,14045,14287,16071,20819,20840,21766
20451,574,1330,2327,17586,19344,21138,21222,21732
20452,116,5281,8592,10960,13639,14858,16771,20862
20453,4445,7762,8495,9011,9960,16355,19395,21554
20454,965,6150,11102,19677,22028,,,
20455,2150,2783,8081,10235,12515,13362,14379,16352
20456,177,7450,7573,8585,9031,13141,16226,21675
20457,959,1613,4791,9154,9278,11408,13239,19245
20458,1205,6615,19030,19858,21819,,,
20459,927,1639,17401,17797,18848,19888,,
20460,820,5776,7913,11222,14363,14595,15250,18039
20461,7006,14459,15675,18352,19690,20920,,
20462,2908,3346,6351,7407,8055,16557,17299,19805
20463,5292,6867,8715,11295,19158,20024,21209,22122
20464,8967,11741,15102,15146,15493,16398,17239,20948
20465,3548,5274,8694,10455,10834,14370,19219,20587
20466,8290,8402,10412,11814,11895,12138,20444,21275
20467,2078,2704,6872,8803,9206,14022,20968,21566
20468,2116,2327,14290,17001,17586,19344,20028,20257
20469,4378,4430,6486,15217,16061,17843,20908,21469
20470,4830,15006,16853,19524,19654,20009,20645,21102
20471,4851,9106,20966,,,,,
20472,13921,14369,18014,19551,22116,,,
20473,3251,4351,12903,14241,14365,15821,17872,21385
20474,2568,14960,19440,19964,20925,21618,21655,21758
20475,4873,5213,9441,11783,14746,15186,18016,20170
20476,4960,20662,20752,21059,21106,21225,21951,22072
20477,374,2035,7232,10564,11035,11764,18276,21836
20478,3605,4163,6216,19933,20357,20837,20958,
20479,608,3544,4145,9790,20903,21215,21481,21983
20480,970,9274,14317,18660,18692,20546,21239,22059
20481,182,3501,6651,6927,12618,12895,13657,21079
20482,2002,5173,6867,7974,9116,11295,15310,20024
20483,5148,6528,14488,17547,18219,19118,20526,20972
20484,1039,11561,19319,19993,20570,20782,21812,
20485,2560,2772,4169,6037,20182,,,
20486,6595,7781,9390,10179,16118,18985,20288,21579
20487,7371,11505,14140,18994,19065,20502,21087,22023
20488,2107,3237,5106,12216,14053,,,
20489,1201,2713,3608,7843,15698,19905,20505,21903
20490,116,1333,3600,10636,18452,19686,19723,21518
20491,4838,9273,16518,16558,20983,21437,21658,21772
20492,5225,5637,15949,17353,18512,21151,21308,21454
20493,1896,8833,11173,12331,15834,19469,21617,21661
20494,760,10509,14080,15830,17701,19502,20173,21723
20495,3485,7139,14313,14622,19397,21358,21474,21692
20496,8786,9226,9231,13424,15302,17661,20613,
20497,1932,3428,12360,20409,22067,,,
20498,8727,17613,20978,21409,21414,21978,22111,
20499,0,,,,,,,
20500,1991,14849,17076,19393,19956,,,
20501,2034,17266,17765,21165,,,,
20502,2334,6804,13724,20487,20812,21087,21762,22023
20503,1585,5435,11913,14163,20320,21423,22103,
20504,3509,6845,10596,11650,16088,19863,21192,21736
20505,3608,3802,13092,15017,18596,18755,19905,20489
20506,605,2067,5631,6958,8857,9240,10435,20073
20507,2071,2684,7063,12799,16742,16952,18356,20323
20508,2775,5173,6633,7974,14686,15310,19278,22012
20509,755,3041,4496,5779,13249,15312,17877,18523
20510,7265,8402,11895,12138,17217,18196,19940,21654
20511,4184,7104,7138,9318,10983,14331,16048,16770
20512,2557,13215,17128,17825,18156,18839,19702,21573
20513,10684,12262,13394,18677,21996,,,
20514,8796,17372,21865,21970,,,,
20515,3534,3751,3966,6967,13659,17671,17932,18942
20516,17222,17868,21259,,,,,
20517,8516,9309,15563,15951,19627,20101,21120,21871
20518,844,1563,2515,2555,8075,9375,12451,17750
